0.01, 9.26
0.02, 7.79
0.03, 5.65
0.04, 2.95
0.05, -0.11
0.06, -3.33
0.07, -6.44
0.08, -9.17
0.09, -11.27
0.10, -12.51
0.11, -12.71
0.12, -11.76
0.13, -9.67
0.14, -6.49
0.15, -2.41
0.16, 2.31
0.17, 7.33
0.18, 12.25
0.19, 16.67
0.20, 20.15
0.21, 22.35
0.22, 22.97
0.23, 21.82
0.24, 18.85
0.25, 14.17
0.26, 8.01
0.27, 0.77
0.28, -7.04
0.29, -14.81
0.30, -21.91
0.31, -27.66
0.32, -31.50
0.33, -32.93
0.34, -31.64
0.35, -27.51
0.36, -20.64
0.37, -11.38
0.38, -0.30
0.39, 11.82
0.40, 24.07
0.41, 35.43
0.42, 44.88
0.43, 51.48
0.44, 54.43
0.45, 53.20
0.46, 47.52
0.47, 37.51
0.48, 23.64
0.49, 6.75
0.50, -12.03
0.51, -31.26
0.52, -49.39
0.53, -64.83
0.54, -76.04
0.55, -81.76
0.56, -81.04
0.57, -73.41
0.58, -58.93
0.59, -38.23
0.60, -12.53
0.61, 16.46
0.62, 46.60
0.63, 75.45
0.64, 100.53
0.65, 119.41
0.66, 130.02
0.67, 130.77
0.68, 120.78
0.69, 100.00
0.70, 69.25
0.71, 30.26
0.72, -14.40
0.73, -61.48
0.74, -107.26
0.75, -147.83
0.76, -179.35
0.77, -198.46
0.78, -202.53
0.79, -189.96
0.80, -160.41
0.81, -114.94
0.82, -56.00
0.83, 12.62
0.84, 86.00
0.85, 158.43
0.86, 223.79
0.87, 276.04
0.88, 309.75
0.89, 320.54
0.90, 305.63
0.91, 264.10
0.92, 197.20
0.93, 108.39
0.94, 3.24
0.95, -110.84
0.96, -225.09
0.97, -330.01
0.98, -416.07
0.99, -474.53
1.00, -498.23
